[2026-05-02 05:54:51:828] .\Envir\lua/Data/fairy_fate_cfg.lua time：140

[2026-05-03 00:14:21:711] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-03 00:14:52:457] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-03 00:15:22:611] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-03 00:15:53:177] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-03 00:16:23:657] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-03 00:16:55:652] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：94; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-03 00:17:28:147] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-03 00:17:58:720] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-03 00:18:28:254] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：79; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-03 00:18:58:668] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：93; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-03 00:19:29:826] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-03 00:20:01:002] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：79; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-03 00:20:38:569] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：62; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-03 00:22:58:505] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：94; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-03 00:53:21:383] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：47; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-03 03:24:57:761] LuaNPC:玩家名字 ID:999999999 执行 login player:玩家名字 耗时：31; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-03 05:19:14:081] LuaNPC:玩家名字 ID:999999999 执行 handlerequest player:玩家名字 耗时：31; NpcThreadId: 27928, CurPlayThreadId: 27928
[2026-05-03 05:19:14:081] [玩家名字]Lua执行耗时过高:31ms msgid:100 502 1 0 

[2026-05-03 05:20:58:070] LuaNPC:玩家名字 ID:999999999 执行 ontimer6 player:玩家名字 耗时：31; NpcThreadId: 27928, CurPlayThreadId: 27928

